,title,price,description,Category
0,LÄTT,165.0,طاولة أطفال مع كرسيين,Childrens furniture
1,SUNDVIK,210.0,طاولة أطفال,Childrens furniture
2,SUNDVIK,129.0,كرسي أطفال,Childrens furniture
3,MICKE,229.0,مكتب,Childrens furniture
4,LÄTT,165.0,طاولة أطفال مع كرسيين,Childrens furniture
5,SUNDVIK,210.0,طاولة أطفال,Childrens furniture
6,SUNDVIK,129.0,كرسي أطفال,Childrens furniture
7,MICKE,229.0,مكتب,Childrens furniture
8,POÄNG,255.0,كرسي بذراعين للأطفال,Childrens furniture
9,SMÅSTAD,943.0,دولاب ملابس مع وحدة تُسحب للخارج,Childrens furniture
10,TROFAST,275.0,اطار,Childrens furniture
11,MAMMUT,65.0,كرسي أطفال,Childrens furniture
12,SLÄKT,345.0,صندوق تخزين بعجلات.,Childrens furniture
13,TROFAST,65.0,رف,Childrens furniture
14,SLÄKT,525.0,بوف/مرتبة، قابلة للطي,Childrens furniture
15,DUNDRA,645.0,طاولة أنشطة بتخزين,Childrens furniture
16,IKEA PS LÖMSK,395.0,كرسي بذراعين دوّار,Childrens furniture
17,SMÅSTAD / PLATSA,673.0,دولاب ملابس,Childrens furniture
18,TROFAST,145.0,تخزين حائطي,Childrens furniture
19,MAMMUT,65.0,كرسي أطفال,Childrens furniture
20,SMÅSTAD,871.0,مكتب,Childrens furniture
21,GODISHUS,349.0,خزانة بـ 3 أدراج,Childrens furniture
22,BERGIG,475.0,عارض كتب مع تخزين,Childrens furniture
23,VIMUND,359.0,كرسي مكتب أطفال,Childrens furniture
24,BUSA,49.0,خيمة أطفال,Childrens furniture
25,STRANDMON,599.0,كرسي أطفال مع مساند للذراعين,Childrens furniture
26,TROFAST,10.0,صندوق تخزين,Childrens furniture
27,TROFAST,20.0,صندوق تخزين,Childrens furniture
28,NISSAFORS,99.0,عربة,Trolleys
29,RÅSHULT,159.0,عربة,Trolleys
30,RÅSKOG,229.0,عربة,Trolleys
31,TROTTEN,525.0,عربة,Trolleys
32,NISSAFORS,99.0,عربة,Trolleys
33,RÅSHULT,159.0,عربة,Trolleys
34,RÅSKOG,229.0,عربة,Trolleys
35,TROTTEN,525.0,عربة,Trolleys
36,FÖRHÖJA,799.0,عربة مطبخ,Trolleys
37,GROERYD,799.0,عربة,Trolleys
38,RISATORP,299.0,عربة,Trolleys
39,BROR,645.0,عربة,Trolleys
40,KUNGSFORS,775.0,عربة مطبخ,Trolleys
41,VADHOLMA,2795.0,جزيرة مطبخ مع رف,Trolleys
42,TORNVIKEN,1795.0,خزانة في وسط المطبخ,Trolleys
43,BROR,795.0,منصّة عمل,Trolleys
44,VADHOLMA,2350.0,خزانة في وسط المطبخ,Trolleys
45,BEKVÄM,399.0,عربة مطبخ,Trolleys
46,HÖGSMA,65.0,لوح تقطيع,Trolleys
47,RIMFORSA,2245.0,منصّة عمل,Trolleys
48,VADHOLMA,445.0,رف لجزيرة مطبخ,Trolleys
49,STENSTORP,999.0,عربة مطبخ,Trolleys
50,ENHET,955.0,تشكيلة جزيرة مطبخ بمقعد,Trolleys
51,NISSAFORS,99.0,عربة,Trolleys
52,RÅSHULT,159.0,عربة,Trolleys
53,RÅSKOG,229.0,عربة,Trolleys
54,TORNVIKEN,1795.0,خزانة في وسط المطبخ,Trolleys
55,TORNVIKEN,1295.0,خزانة في وسط المطبخ,Trolleys
56,KALLRÖR,35.0,مقبض,Knobs & handles
57,ENERYDA,22.0,مقبض,Knobs & handles
58,GUBBARP,5.5,مقبض,Knobs & handles
59,ENERYDA,45.0,مقبض,Knobs & handles
60,KALLRÖR,35.0,مقبض,Knobs & handles
61,ENERYDA,22.0,مقبض,Knobs & handles
62,GUBBARP,5.5,مقبض,Knobs & handles
63,ENERYDA,45.0,مقبض,Knobs & handles
64,BILLSBRO,22.0,مقبض,Knobs & handles
65,GUBBARP,3.5,مقبض,Knobs & handles
66,NYDALA,40.0,مقبض,Knobs & handles
67,MOSSARYD,40.0,مقبض,Knobs & handles
68,ORRNÄS,35.0,مقبض,Knobs & handles
69,BORGHAMN,35.0,مقبض,Knobs & handles
70,BAGGANÄS,65.0,مقبض,Knobs & handles
71,NYDALA,20.0,مقبض,Knobs & handles
72,BAGGANÄS,35.0,مقبض,Knobs & handles
73,HISHULT,45.0,مقبض,Knobs & handles
74,ÖSTERNÄS,55.0,يد جلد,Knobs & handles
75,VINNÄSET,35.0,مقبض,Knobs & handles
76,FIXA,10.0,مسطرة تحديد,Knobs & handles
77,SÖRBYN,19.0,مقبض,Knobs & handles
78,SKÄRHAMN,45.0,مقبض,Knobs & handles
79,HACKÅS,20.0,مقبض,Knobs & handles
80,ENERYDA,45.0,يد مقوّسة,Knobs & handles
81,HISHULT,22.0,مقبض,Knobs & handles
82,ORRNÄS,19.0,مقبض,Knobs & handles
83,SKÄRHAMN,45.0,مقبض,Knobs & handles
